submitted_at	run_id	job_id	model	mode	iteration	status
2026-06-22T09:54:25Z	scat_p01_phi_i0	8010417	microsoft/Phi-tiny-MoE-instruct	scattered	0	submitted
2026-06-22T09:54:25Z	scat_p01_phi_i1	8010418	microsoft/Phi-tiny-MoE-instruct	scattered	1	submitted
2026-06-22T09:54:26Z	scat_p01_phi_i2	8010419	microsoft/Phi-tiny-MoE-instruct	scattered	2	submitted
2026-06-22T09:54:27Z	scat_p01_qwen_i0	8010420	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	0	submitted
2026-06-22T09:54:27Z	scat_p01_qwen_i1	8010421	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	1	submitted
2026-06-22T09:54:27Z	scat_p01_qwen_i2	8010422	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	2	submitted
2026-06-22T09:54:28Z	scat_p02_phi_i0	8010423	microsoft/Phi-tiny-MoE-instruct	scattered	0	submitted
2026-06-22T09:54:28Z	scat_p02_phi_i1	8010424	microsoft/Phi-tiny-MoE-instruct	scattered	1	submitted
2026-06-22T09:54:28Z	scat_p02_phi_i2	8010425	microsoft/Phi-tiny-MoE-instruct	scattered	2	submitted
2026-06-22T09:54:28Z	scat_p02_qwen_i0	8010426	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	0	submitted
2026-06-22T09:54:29Z	scat_p02_qwen_i1	8010427	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	1	submitted
2026-06-22T09:54:29Z	scat_p02_qwen_i2	8010428	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	2	submitted
2026-06-22T09:54:29Z	scat_p03_phi_i0	8010429	microsoft/Phi-tiny-MoE-instruct	scattered	0	submitted
2026-06-22T09:54:29Z	scat_p03_phi_i1	8010430	microsoft/Phi-tiny-MoE-instruct	scattered	1	submitted
2026-06-22T09:54:30Z	scat_p03_phi_i2	8010431	microsoft/Phi-tiny-MoE-instruct	scattered	2	submitted
2026-06-22T09:54:30Z	scat_p03_qwen_i0	8010432	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	0	submitted
2026-06-22T09:54:30Z	scat_p03_qwen_i1	8010433	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	1	submitted
2026-06-22T09:54:30Z	scat_p03_qwen_i2	8010434	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	2	submitted
2026-06-24T18:06:31Z	scat_p01_phi_i2	8028918	microsoft/Phi-tiny-MoE-instruct	scattered	2	submitted
