model,tokens,layers,top_k,observed_num_experts,max_expert_id,dtype,bytes,valid
Qwen_Qwen1.5-MoE-A2.7B-Chat,64143,24,4,60,59,int16,12315584,True
Qwen_Qwen2-57B-A14B-Instruct,64143,28,8,64,63,int16,28736192,True
Qwen_Qwen3-235B-A22B-Instruct-2507,64143,94,8,128,127,int16,96471200,True
Qwen_Qwen3-30B-A3B-Instruct-2507,64143,48,8,128,127,int16,49261952,True
Qwen_Qwen3-30B-A3B-Thinking-2507,64143,48,8,128,127,int16,49261952,True
Qwen_Qwen3-Coder-30B-A3B-Instruct,64143,48,8,128,127,int16,49261952,True
ai21labs_Jamba-v0.1,65424,32,2,16,15,int16,8374400,True
allenai_OLMoE-1B-7B-0924-Instruct,64168,16,8,64,63,int16,16427136,True
baidu_ERNIE-4.5-21B-A3B-PT,64056,28,6,64,63,int16,21522944,True
deepseek-ai_DeepSeek-Coder-V2-Lite-Instruct,64609,27,6,64,63,int16,20933444,True
deepseek-ai_DeepSeek-V2-Lite,64609,27,6,64,63,int16,20933444,True
ibm-granite_granite-3.1-3b-a800m-instruct,64176,32,8,40,39,int16,32858240,True
meta-llama_Llama-4-Scout-17B-16E-Instruct,64076,48,1,16,15,int16,6151424,True
microsoft_Phi-3.5-MoE-instruct,64196,32,2,16,15,int16,8217216,True
mistralai_Mixtral-8x22B-v0.1,64635,56,2,8,7,int16,14478368,True
mistralai_Mixtral-8x7B-v0.1,64635,32,2,8,7,int16,8273408,True
openai_gpt-oss-120b,64562,36,4,1,0,int16,18593984,False
openai_gpt-oss-20b,64562,24,4,1,0,int16,12396032,False
